ShipmentID,DateKey,CustomerID,ProductID,Vessel,Quantity,UnitPrice,Revenue,FreightCost,LoadingPort,DestinationCountryID,ShipmentStatus
1,20230226,4,5,Sapele Hawk,10521.2,505.29,5316257.15,219830.15,Bonny Island Terminal,14,In Transit
2,20191102,7,2,Benin Trader,30948.3,425.91,13181190.45,546276.5,Bonny Island Terminal,3,Loading
3,20220227,25,2,Delta Crown,28541.0,428.81,12238666.21,378579.83,Bonny Island Terminal,48,Loading
4,20200303,27,5,Sapele Hawk,9624.9,320.97,3089304.15,172599.14,Bonny Island Terminal,15,Delivered
5,20240130,30,3,Escravos Queen,14852.4,459.67,6827202.71,531923.34,Bonny Island Terminal,39,In Transit
6,20220318,2,4,Calabar Wind,113803.5,86.72,9869039.52,678383.25,Bonny Island Terminal,3,In Transit
7,20210831,14,5,Port Harcourt Mist,12588.4,371.91,4681751.84,202385.65,Bonny Island Terminal,50,Cancelled
8,20230225,14,2,Aso Rock Pride,20882.3,569.94,11901658.06,731336.18,Bonny Island Terminal,4,Cancelled
9,20220106,24,1,Forcados Brave,165905.3,9.38,1556191.71,47480.84,Bonny Island Terminal,17,Loading
10,20211031,25,5,Port Harcourt Mist,24601.7,399.99,9840433.98,499021.22,Bonny Island Terminal,21,Cancelled
11,20190828,23,1,Finima Pioneer,171816.4,8.89,1527447.8,115409.86,Bonny Island Terminal,46,Delivered
12,20241224,22,1,BGT Whale,57559.5,11.16,642364.02,29584.15,Bonny Island Terminal,51,In Transit
13,20211214,16,1,Onne Star,151340.2,11.0,1664742.2,83946.78,Bonny Island Terminal,14,Loading
14,20230411,2,1,Forcados Brave,163560.4,10.64,1740282.66,135320.47,Bonny Island Terminal,22,Cancelled
15,20220618,9,1,Delta Crown,153610.5,8.41,1291864.3,67008.88,Bonny Island Terminal,49,Loading
16,20191221,15,5,Odudu Explorer,22607.9,376.58,8513682.98,517305.93,Bonny Island Terminal,9,Cancelled
17,20210830,8,1,Abuja Voyager,166927.5,7.44,1241940.6,44408.12,Bonny Island Terminal,6,Delivered
18,20241105,10,1,Bonga Merchant,174284.8,9.28,1617362.94,118293.31,Bonny Island Terminal,45,Delivered
19,20190517,26,1,Calabar Wind,161212.7,8.01,1291313.73,74984.05,Bonny Island Terminal,7,Loading
20,20230720,15,1,Brass LNG Carrier,53064.9,10.87,576815.46,40564.51,Bonny Island Terminal,27,Loading
21,20220401,18,1,Escravos Queen,122186.2,7.16,874853.19,39904.08,Bonny Island Terminal,46,Delivered
22,20240420,30,5,Sapele Hawk,8860.7,372.76,3302914.53,217253.43,Bonny Island Terminal,36,Delivered
23,20220924,10,1,Brass Crown,126366.2,7.89,997029.32,78965.77,Bonny Island Terminal,37,Cancelled
24,20200626,18,1,Calabar Wind,138949.9,7.79,1082419.72,84989.24,Bonny Island Terminal,13,Delivered
25,20230625,24,1,Port Harcourt Mist,107731.7,11.86,1277697.96,86641.85,Bonny Island Terminal,45,Delivered
26,20230210,27,1,Port Harcourt Mist,55494.6,9.08,503890.97,23908.36,Bonny Island Terminal,17,Delivered
27,20230520,4,1,Onne Star,156420.5,7.21,1127791.8,39120.68,Bonny Island Terminal,12,Delivered
28,20200129,12,1,Calabar Wind,74471.5,7.25,539918.38,30850.4,Bonny Island Terminal,50,Delivered
29,20240117,4,4,Niger Spirit,105285.3,65.5,6896187.15,520547.87,Bonny Island Terminal,38,Delivered
30,20191112,5,1,BGT Falcon,141573.7,8.03,1136836.81,74099.63,Bonny Island Terminal,10,Delivered
31,20240722,6,1,Aso Rock Pride,147619.1,7.44,1098286.1,75577.45,Bonny Island Terminal,29,Cancelled
32,20190223,15,1,BGT Dolphin,82191.9,8.04,660822.88,33351.94,Bonny Island Terminal,29,Cancelled
33,20230319,24,3,Bonny Eagle,22199.1,378.73,8407465.14,327733.39,Bonny Island Terminal,42,Delivered
34,20230309,5,1,Bonny Eagle,66777.1,11.44,763930.02,28900.5,Bonny Island Terminal,16,Delivered
35,20240417,9,4,Delta Crown,49044.3,81.4,3992206.02,165613.07,Bonny Island Terminal,38,Cancelled
36,20230609,10,3,Forcados Brave,33640.2,546.96,18399843.79,1354211.41,Bonny Island Terminal,23,In Transit
37,20200327,20,1,Odudu Explorer,147666.5,12.04,1777904.66,84695.16,Bonny Island Terminal,38,In Transit
38,20220226,27,1,Brass Crown,61803.8,10.03,619892.11,26769.64,Bonny Island Terminal,44,Delivered
39,20211015,8,4,Bonny Eagle,82219.8,56.95,4682417.61,148571.81,Bonny Island Terminal,28,Cancelled
40,20200527,9,1,BGT Whale,110474.9,10.49,1158881.7,56522.3,Bonny Island Terminal,23,Loading
41,20240918,20,1,Onne Star,130027.7,8.56,1113037.11,86905.44,Bonny Island Terminal,7,Delivered
42,20211225,3,1,Lagos Star,155153.4,12.38,1920799.09,120411.41,Bonny Island Terminal,26,In Transit
43,20210124,29,1,Forcados Brave,104582.9,10.85,1134724.46,57557.89,Bonny Island Terminal,39,Delivered
44,20220409,5,1,Onne Star,69960.9,9.83,687715.65,33215.67,Bonny Island Terminal,1,Delivered
45,20190510,29,1,Zuma Mariner,118106.7,7.92,935405.06,49149.83,Bonny Island Terminal,22,Delivered
46,20240602,24,5,Calabar Wind,10997.3,342.74,3769214.6,210165.93,Bonny Island Terminal,39,Delivered
