FinanceID,DateKey,ProductID,Revenue,OPEX,CAPEX,MaintenanceCost,Profit
1,20231104,6,3338567.26,949151.66,256135.89,330525.18,1802754.53
2,20210405,3,2258602.54,456322.4,183210.98,92629.9,1526439.26
3,20210911,5,1044478.93,383357.06,120559.1,47428.93,493133.84
4,20191127,7,10536005.85,3651054.24,844917.35,658907.32,5381126.94
5,20241220,5,2307487.91,627808.69,262691.21,72426.19,1344561.82
6,20241128,6,3397480.06,908889.73,223567.41,243158.44,2021864.48
7,20190924,5,6640704.72,2622767.45,742853.9,640933.0,2634150.37
8,20190624,5,7004715.4,2483578.37,866594.73,694104.46,2960437.84
9,20230727,7,3679567.24,977197.47,358821.31,319359.96,2024188.5
10,20190101,2,15928803.31,5640889.73,2185223.77,752043.16,7350646.65
11,20240619,7,2331693.62,675689.85,220154.6,142253.38,1293595.79
12,20240413,3,4857983.29,1908105.54,597758.83,180651.11,2171467.81
13,20221216,3,5057636.63,1816727.81,459211.38,368705.5,2412991.94
14,20211102,3,2352415.66,483253.97,152312.46,163379.41,1553469.82
15,20220319,4,1519703.88,565946.81,179814.21,47046.22,726896.64
16,20210714,7,7268508.69,1997813.95,497407.68,607069.26,4166217.8
17,20210730,5,6989800.53,2201915.54,876809.94,690593.27,3220481.78
18,20210810,2,4414599.05,1627520.82,439615.18,183333.09,2164129.96
19,20240822,6,6076755.37,1874263.56,316853.3,494686.85,3390951.66
20,20191015,2,2363025.0,572547.94,293285.11,122605.19,1374586.76
21,20231106,7,18345510.01,6373790.28,2384297.99,1142630.98,8444790.76
22,20210608,7,3006617.39,1026480.09,343816.02,122440.58,1513880.7
23,20200328,6,886297.23,228735.04,117390.46,37141.62,503030.11
24,20220209,6,531616.62,113826.39,37484.97,45369.88,334935.38
25,20190307,5,1312938.91,464486.27,89907.26,126624.81,631920.57
26,20230604,5,2791002.95,572648.92,198983.32,90452.89,1928917.82
27,20200919,4,1569273.36,510474.48,113184.36,112328.89,833285.63
28,20240415,1,19029045.04,5962615.52,1745789.63,1559977.32,9760662.57
29,20220213,3,2161739.99,654065.27,306608.12,88096.66,1112969.94
30,20230128,7,1715446.65,442392.13,144419.75,167572.99,961061.78
31,20230131,5,307725.86,88832.82,41819.35,23899.67,153174.02
32,20240823,7,809135.04,249321.79,118392.09,35373.6,406047.56
