MaintenanceID,DateKey,EquipmentID,EmployeeID,MaintenanceType,DowntimeHours,MaintenanceCost,Status
1,20220228,143,1089,Calibration,1.9,977.02,Deferred
2,20210426,4,1237,Vibration Analysis,2.6,1776.38,Completed
3,20190416,54,2117,Corrective,1.8,32061.09,Cancelled
4,20201224,15,97,SRV Testing,1.8,2045.03,Completed
5,20190621,193,542,Corrective,1.8,76478.43,Completed
6,20210215,276,1670,Preventive,2.3,5144.69,In Progress
7,20200525,85,1357,Preventive,1.0,2282.38,Deferred
8,20190706,272,14,Thickness Measurement,1.6,2242.31,Deferred
9,20240527,62,347,Predictive,3.5,4417.43,Completed
10,20230602,276,1310,Lubrication Service,0.8,761.39,Completed
11,20190629,8,2106,SRV Testing,3.3,3867.33,Completed
12,20220602,151,2277,Corrective,3.8,50016.38,Completed
13,20220920,119,2745,Preventive,1.0,917.98,Deferred
14,20221109,39,84,Preventive,2.7,5506.66,In Progress
15,20220111,10,1763,Preventive,3.3,2360.37,Completed
16,20191030,110,2999,Preventive,0.7,7685.29,Cancelled
17,20220522,180,2164,Predictive,2.1,3616.63,Completed
18,20240215,111,1637,Piping Inspection,3.9,1361.91,Cancelled
19,20241126,60,453,Thickness Measurement,2.0,1277.65,Completed
20,20230423,228,1830,Predictive,2.1,3666.78,In Progress
21,20190128,80,1977,Thickness Measurement,1.6,572.77,Completed
22,20230610,47,1690,Predictive,2.5,2895.84,In Progress
23,20221011,4,1685,Condition-Based,2.5,3639.51,Completed
24,20190408,168,2944,Corrective,0.7,56313.86,Completed
25,20190816,107,2897,Lubrication Service,1.6,241.81,Cancelled
26,20231215,280,874,Thickness Measurement,1.9,542.87,In Progress
27,20210809,309,237,Corrective,0.8,69939.39,In Progress
28,20190119,260,1468,Electrical Inspection,2.5,3568.17,Cancelled
29,20240413,175,2548,Lubrication Service,1.7,1208.15,Deferred
30,20220625,296,2013,Electrical Inspection,0.9,2902.29,Deferred
31,20241216,232,2333,SRV Testing,3.2,1195.67,Completed
32,20231120,256,726,SRV Testing,3.5,3906.84,Cancelled
33,20190924,51,2630,Piping Inspection,3.1,2954.88,Cancelled
34,20211029,40,549,Lubrication Service,3.2,604.39,Completed
35,20221018,289,1020,Lubrication Service,1.6,1443.02,Completed
36,20241021,124,462,SRV Testing,2.3,1780.71,Deferred
37,20191126,148,773,Corrective,4.9,54553.5,Deferred
38,20210806,174,828,Predictive,1.7,4909.3,Completed
39,20241130,93,2163,Vibration Analysis,2.8,673.78,Cancelled
40,20200731,53,1759,Vibration Analysis,2.2,1496.18,Completed
41,20220603,118,2965,Lubrication Service,3.8,269.22,Completed
42,20210208,77,2121,Vibration Analysis,2.6,761.65,Completed
43,20190105,325,1093,Lubrication Service,2.7,311.73,Completed
44,20210913,260,1178,Preventive,2.8,4861.47,In Progress
45,20230226,35,1585,Condition-Based,1.8,5649.78,In Progress
46,20210801,167,1885,Electrical Inspection,2.9,1135.62,Deferred
47,20230806,297,31,Predictive,1.1,3318.83,Completed
48,20240728,304,2807,SRV Testing,2.1,1244.84,Completed
49,20201005,235,545,Calibration,3.5,362.97,In Progress
50,20210602,307,1889,Calibration,3.5,1323.53,Completed
51,20230806,38,521,Electrical Inspection,2.9,1828.78,Completed
52,20221125,45,514,Preventive,2.3,7952.74,Completed
53,20220503,252,772,Condition-Based,1.8,5588.43,Cancelled
54,20190623,136,537,Predictive,0.7,3388.75,In Progress
55,20210614,103,2675,Predictive,1.4,2297.64,Completed
56,20200720,55,1828,Vibration Analysis,2.9,858.25,Completed
57,20230201,276,1634,Lubrication Service,3.1,906.27,Completed
58,20210607,308,2622,Calibration,1.7,2489.43,In Progress
59,20220504,217,2679,Vibration Analysis,2.8,464.55,Cancelled
60,20191104,69,725,Calibration,1.7,893.59,Completed
61,20240116,290,2691,Calibration,0.9,1783.42,Cancelled
62,20220623,140,702,Vibration Analysis,3.2,525.26,Completed
63,20211025,38,2977,SRV Testing,3.9,2569.98,Completed
64,20210507,252,337,Thickness Measurement,2.1,1227.35,Completed
65,20230815,154,2756,Electrical Inspection,1.3,3569.8,Cancelled
66,20210922,131,2894,Corrective,3.2,13862.42,Deferred
67,20220314,47,2437,Piping Inspection,1.3,2625.67,In Progress
68,20210216,215,2190,Predictive,1.6,4335.89,Deferred
69,20200206,184,1388,SRV Testing,2.9,3488.11,Cancelled
70,20220329,114,1098,Vibration Analysis,2.4,979.56,In Progress
71,20200809,49,471,Lubrication Service,1.8,1303.66,Deferred
72,20200704,304,1039,Electrical Inspection,3.2,3667.77,Completed
73,20210111,210,1146,Calibration,2.4,588.08,Completed
74,20190810,321,2992,Piping Inspection,1.2,1942.41,Completed
75,20200511,321,347,Vibration Analysis,1.7,1368.09,Cancelled
76,20240704,288,2156,Lubrication Service,3.1,621.13,Completed
77,20190429,233,2008,Corrective,2.8,5258.98,Completed
78,20240123,114,154,Corrective,2.3,12402.35,Deferred
79,20210217,215,959,Electrical Inspection,3.1,2662.91,Cancelled
80,20220913,198,2597,Calibration,2.5,2448.93,Cancelled
81,20200811,218,2109,Electrical Inspection,2.1,793.07,In Progress
82,20230610,272,586,Thickness Measurement,1.6,2403.95,Completed
83,20220805,287,2157,Preventive,3.0,6719.29,Completed
84,20230119,176,942,Predictive,1.5,1920.12,Completed
85,20210325,149,859,Vibration Analysis,2.5,1813.89,In Progress
