ProductionID,DateKey,TrainID,ProductID,GasReceived,LNGProduced,LPGProduced,CondensateProduced,Availability,Utilization,EnergyConsumption,OperatingCost
1,20190101,1,1,9272.9,7475.7,862.9,244.0,95.61,95.13,457.18,82199.48
2,20190101,2,1,9079.9,6893.0,561.5,299.1,93.62,89.58,441.13,139007.72
3,20190101,3,1,9146.8,6930.6,676.4,357.9,94.31,89.41,458.91,59714.71
4,20190101,4,1,11786.2,8385.2,938.2,298.6,88.92,83.95,500.66,109563.2
5,20190101,5,1,12661.0,9585.9,806.2,336.3,95.52,89.34,618.73,105218.78
6,20190101,6,1,12316.4,8923.1,872.3,356.5,92.92,85.49,761.21,249845.77
7,20190102,1,1,8511.5,6298.5,518.3,284.5,87.76,87.32,444.18,124386.81
8,20190102,2,1,9239.9,6857.1,557.1,341.6,95.27,87.57,557.56,114312.52
9,20190102,3,1,9069.2,6780.4,799.9,187.3,93.51,88.22,404.51,113620.34
10,20190102,4,1,13087.8,10440.3,867.3,297.8,98.74,94.13,667.59,100575.55
11,20190102,5,1,12444.9,9133.3,919.8,476.3,93.89,86.6,541.76,227015.45
12,20190102,6,1,12296.5,8949.3,935.0,416.6,92.77,85.88,860.25,94579.47
13,20190103,1,1,9233.1,7341.9,880.2,334.3,95.2,93.83,637.33,165177.53
14,20190103,2,1,9126.4,6803.8,625.9,211.3,94.1,87.97,559.33,141718.83
15,20190103,3,1,8841.3,6954.6,776.7,218.7,91.16,92.82,484.69,95997.57
16,20190103,4,1,12615.9,9729.2,1160.9,285.1,95.18,91.0,839.3,73139.07
17,20190103,5,1,12202.4,9037.0,871.0,384.4,92.06,87.39,533.97,104781.39
18,20190103,6,1,11734.5,8416.0,847.4,264.8,88.53,84.63,761.24,130698.92
19,20190104,1,1,9042.0,6860.5,787.1,331.2,93.23,89.53,502.22,102217.41
20,20190104,2,1,8817.0,6875.8,612.1,343.4,90.91,92.02,489.93,102167.81
21,20190104,3,1,9340.8,7112.4,746.8,301.6,96.31,89.85,399.81,152095.07
22,20190104,4,1,13254.8,10892.5,946.0,430.6,100.0,96.97,888.87,154532.65
23,20190104,5,1,12495.3,9725.2,789.8,472.1,94.27,91.84,704.33,137967.91
24,20190104,6,1,12996.3,10036.9,1127.1,365.5,98.05,91.13,696.68,139941.19
25,20190105,1,1,8645.4,6144.1,526.8,321.9,89.14,83.86,428.63,200148.4
26,20190105,2,1,9238.9,7069.3,780.6,279.9,95.26,90.29,398.99,98054.55
27,20190105,3,1,8817.0,6154.7,725.1,328.7,90.91,82.37,463.28,144718.1
28,20190105,4,1,12418.4,9062.3,1086.0,364.3,93.69,86.11,824.24,119762.26
29,20190105,5,1,11868.3,8365.2,864.4,248.9,89.54,83.17,574.91,183702.24
30,20190105,6,1,12691.5,10099.4,923.4,255.9,95.75,93.9,548.59,85282.63
31,20190106,1,1,8757.9,6068.2,497.9,273.6,90.3,81.76,445.56,94736.28
32,20190106,2,1,9314.6,7233.0,737.7,340.0,96.04,91.63,546.74,130966.62
33,20190106,3,1,9327.2,7741.6,792.1,254.7,96.17,97.94,413.46,134955.98
34,20190106,4,1,12619.9,9213.6,751.4,432.5,95.21,86.15,809.18,121885.22
35,20190106,5,1,12554.9,10196.1,945.6,349.8,94.72,95.83,734.4,214038.64
36,20190106,6,1,12145.4,9062.7,909.8,361.9,91.63,88.05,690.92,117915.86
37,20190107,1,1,8928.6,6617.7,610.9,339.1,92.06,87.46,590.74,149536.66
38,20190107,2,1,9182.7,6866.0,729.3,362.2,94.68,88.23,526.67,116663.36
39,20190107,3,1,8899.5,6544.1,738.6,221.1,91.76,86.77,508.85,142242.38
40,20190107,4,1,11427.0,7955.3,769.7,322.9,86.21,82.15,526.98,120386.26
41,20190107,5,1,11313.0,8079.2,874.4,343.6,85.35,84.27,642.88,113092.39
42,20190107,6,1,12509.9,9661.2,1034.1,467.3,94.38,91.13,755.88,159292.51
43,20190108,1,1,8049.9,5285.6,486.0,312.6,83.0,77.48,559.21,225443.4
44,20190108,2,1,9116.7,7138.1,710.7,269.8,94.0,92.39,517.96,85291.69
45,20190108,3,1,8225.4,5600.2,525.3,291.7,84.81,80.34,365.16,183295.76
46,20190108,4,1,12024.7,8558.0,968.1,305.7,90.72,83.98,683.73,100640.96
47,20190108,5,1,12304.4,8770.6,1019.2,301.6,92.83,84.11,578.12,79665.51
48,20190108,6,1,11935.9,8714.2,934.6,271.5,90.05,86.15,822.81,289032.97
49,20190109,1,1,8464.0,6201.7,567.4,217.6,87.27,86.46,353.58,203942.49
50,20190109,2,1,9105.1,6721.6,736.3,336.9,93.88,87.11,374.39,197222.34
51,20190109,3,1,9493.0,7121.4,807.9,339.5,97.88,88.52,432.78,103275.3
52,20190109,4,1,11273.2,7603.7,791.6,434.8,85.05,79.59,564.24,109964.35
53,20190109,5,1,11228.1,7383.9,739.6,285.8,84.71,77.6,721.57,77896.44
54,20190109,6,1,12157.3,9239.5,1004.7,246.6,91.72,89.68,609.24,77905.62
55,20190110,1,1,9205.9,7232.1,695.9,262.9,94.92,92.7,458.8,111304.21
56,20190110,2,1,9519.2,8059.1,798.6,368.6,98.15,99.9,382.72,103864.76
57,20190110,3,1,8982.9,6838.4,703.8,226.6,92.62,89.83,456.21,69602.9
58,20190110,4,1,12798.8,10011.3,864.9,431.6,96.56,92.3,866.39,172245.1
59,20190110,5,1,12800.2,9705.3,1148.1,378.4,96.57,89.47,686.72,205003.51
60,20190110,6,1,12141.4,9276.8,1080.9,426.7,91.6,90.16,777.78,306657.47
61,20190111,1,1,8798.6,6727.2,679.6,268.9,90.72,90.22,447.44,77198.72
62,20190111,2,1,8546.4,5870.2,670.3,246.5,88.12,81.05,516.28,160563.3
63,20190111,3,1,9359.2,6939.3,591.8,264.9,96.5,87.49,532.7,135746.66
64,20190111,4,1,11985.0,8604.8,695.9,300.7,90.42,84.72,480.48,97383.98
65,20190111,5,1,11596.6,8296.5,683.7,439.3,87.49,84.42,806.94,116817.03
66,20190111,6,1,12706.0,9512.3,812.5,417.1,95.86,88.34,786.23,199588.41
67,20190112,1,1,9348.5,7713.3,733.5,202.0,96.39,97.36,644.34,161408.62
68,20190112,2,1,8753.0,6716.1,569.2,348.9,90.25,90.54,453.33,307912.93
69,20190112,3,1,9448.4,7693.2,746.0,260.6,97.42,96.08,443.03,116223.09
70,20190112,4,1,12247.4,8848.2,1017.6,432.5,92.4,85.25,501.73,159647.11
71,20190112,5,1,13254.8,10434.2,862.8,422.5,100.0,92.89,707.72,302247.92
72,20190112,6,1,11893.5,8405.1,687.3,342.3,89.73,83.39,668.33,261650.36
